rank,CHP_ID,Chinese_herbal_pieces,adj_avg_score,total_compounds,effective_count,high_quality_count,ultra_high_count
535,CHP02659,毛八角枫,0.7933057245432306,1.0,1.0,1.0,1.0
536,CHP06130,太白花,0.7933057245432306,1.0,1.0,1.0,1.0
537,CHP02707,毛葡萄,0.7933057245432306,1.0,1.0,1.0,1.0
538,CHP00050,白八角莲,0.7933057245432306,1.0,1.0,1.0,1.0
539,CHP00069,白椴,0.7933057245432306,1.0,1.0,1.0,1.0
540,CHP03212,乔木紫珠,0.7933057245432306,1.0,1.0,1.0,1.0
541,CHP02782,迷果芹,0.7933057245432306,1.0,1.0,1.0,1.0
542,CHP02589,马桑根,0.7933057245432306,1.0,1.0,1.0,1.0
543,CHP02609,麦瓶草,0.7933057245432306,1.0,1.0,1.0,1.0
544,CHP01764,火炭母草,0.7933057245432306,1.0,1.0,1.0,1.0
545,CHP00991,番石榴干,0.7933057245432306,1.0,1.0,1.0,1.0
546,CHP05032,野菰,0.7933057245432306,1.0,1.0,1.0,1.0
547,CHP00635,淡竹叶,0.7933057245432306,1.0,1.0,1.0,1.0
548,CHP00667,地柏枝,0.7933057245432306,1.0,1.0,1.0,1.0
549,CHP00988,番木瓜叶,0.7933057245432306,1.0,1.0,1.0,1.0
550,CHP03110,飘拂草,0.7933057245432306,1.0,1.0,1.0,1.0
551,CHP05274,榆树,0.7933057245432306,1.0,1.0,1.0,1.0
552,CHP04328,文竹,0.7933057245432306,1.0,1.0,1.0,1.0
553,CHP03569,山珊瑚,0.7933057245432306,1.0,1.0,1.0,1.0
554,CHP04340,乌骨藤,0.7933056918159579,1.0,1.0,1.0,1.0
555,CHP05009,椰子皮,0.7933056518159578,1.0,1.0,1.0,1.0
556,CHP01758,茴香根,0.7933056490886852,1.0,1.0,1.0,1.0
557,CHP05853,猴枣,0.7933053609068669,1.0,1.0,1.0,1.0
558,CHP05353,云实,0.7933049972705034,1.0,1.0,1.0,1.0
559,CHP05882,鸡肉,0.7933000454523215,1.0,1.0,1.0,1.0
560,CHP05173,银不换,0.7932725609068669,1.0,1.0,1.0,1.0
561,CHP03081,炮姜,0.7932692518159578,1.0,1.0,1.0,1.0
562,CHP02561,马比木,0.7932627654523215,1.0,1.0,1.0,1.0
563,CHP01269,管花肉苁蓉,0.7932444019987768,10.0,10.0,5.0,5.0
564,CHP00768,钓樟枝叶,0.7932342881795943,1.0,1.0,1.0,1.0
565,CHP01797,鸡嗉子,0.793177921426824,4.0,4.0,3.0,3.0
566,CHP03893,水松,0.793168176426824,4.0,4.0,2.0,2.0
567,CHP04552,香茶菜,0.793137189471407,463.0,463.0,278.0,278.0
568,CHP00201,半边莲,0.7930219553771276,96.0,96.0,60.0,60.0
569,CHP03979,苏木,0.792979483666259,50.0,50.0,30.0,29.0
570,CHP02420,龙牙楤木,0.7929046579983691,5.0,5.0,3.0,3.0
571,CHP02149,块茎糙苏,0.7927022790886852,1.0,1.0,1.0,1.0
572,CHP05515,重楼,0.79233987268233,31.0,31.0,16.0,16.0
573,CHP06134,云芝,0.7923046707682898,16.0,16.0,11.0,11.0
574,CHP06091,茯苓皮,0.7920313883668478,39.0,39.0,24.0,23.0
575,CHP00731,棣棠花,0.7919456372716153,12.0,12.0,6.0,6.0
576,CHP01933,金荞麦,0.7918157072719859,23.0,23.0,15.0,15.0
577,CHP00936,多裂委陵菜,0.7916377484596566,3.0,3.0,2.0,2.0
578,CHP05255,余甘子,0.7916247924133714,48.0,48.0,26.0,26.0
579,CHP04822,萱草根,0.7914129913317024,5.0,5.0,3.0,3.0
580,CHP03704,石菖蒲,0.7913254321813735,45.0,45.0,27.0,26.0
581,CHP00079,白果槲寄生,0.7911355099982526,4.0,4.0,3.0,3.0
582,CHP04085,天花粉,0.7910226879983692,5.0,5.0,3.0,3.0
583,CHP05012,野百合,0.7910013176904259,3.0,3.0,2.0,2.0
584,CHP01350,旱芹,0.7909825851344738,27.0,27.0,17.0,17.0
585,CHP03027,牛心茄子,0.7908567413317024,5.0,5.0,3.0,3.0
586,CHP03991,粟米,0.7908048066650358,5.0,5.0,2.0,2.0
587,CHP02104,苦瓜,0.7907942071411097,4.0,4.0,2.0,2.0
588,CHP01345,海州骨碎补,0.7906626599987768,10.0,10.0,6.0,6.0
