rank,CHP_ID,Chinese_herbal_pieces,ultra_high_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
51,CHP00225,暴马子皮,1.0,1.0,1.0,1.0,1.0
52,CHP00191,斑鸠菊,1.0,22.0,22.0,13.0,13.0
53,CHP00208,半枫荷,1.0,3.0,3.0,2.0,2.0
54,CHP00176,百蕊草,1.0,1.0,1.0,1.0,1.0
55,CHP00178,百眼藤,1.0,5.0,5.0,1.0,1.0
56,CHP05377,泽漆,1.0,39.0,39.0,25.0,25.0
57,CHP00332,茶条槭,1.0,2.0,2.0,1.0,1.0
58,CHP00336,茶子,1.0,13.0,13.0,7.0,6.0
59,CHP00349,常春卫矛,1.0,6.0,6.0,5.0,5.0
60,CHP00319,草莓,1.0,2.0,2.0,1.0,1.0
61,CHP05461,鹧鸪菜,1.0,1.0,1.0,1.0,1.0
62,CHP05380,泽泻,1.0,24.0,24.0,23.0,23.0
63,CHP05392,粘毛鼠尾草,1.0,4.0,4.0,2.0,2.0
64,CHP05403,樟梨,1.0,5.0,5.0,3.0,3.0
65,CHP05364,仔榄树,1.0,2.0,2.0,2.0,2.0
66,CHP05373,皂角刺,1.0,2.0,2.0,1.0,1.0
67,CHP00235,贝母兰,1.0,6.0,6.0,1.0,1.0
68,CHP05467,真藓,1.0,1.0,1.0,1.0,1.0
69,CHP05481,栀子叶,1.0,1.0,1.0,1.0,1.0
70,CHP05427,长管香茶菜,1.0,22.0,22.0,15.0,15.0
71,CHP05435,长尾复叶耳蕨,1.0,1.0,1.0,1.0,1.0
72,CHP05450,照山白,1.0,2.0,2.0,1.0,1.0
73,CHP00245,蓖麻油,1.0,7.0,7.0,1.0,1.0
74,CHP00247,薜荔,1.0,2.0,2.0,2.0,2.0
75,CHP00251,边缘鳞盖蕨,1.0,14.0,14.0,6.0,6.0
76,CHP05296,郁金香,1.0,9.0,9.0,4.0,4.0
77,CHP05267,鱼腥草,1.0,1.0,1.0,1.0,1.0
78,CHP05274,榆树,1.0,1.0,1.0,1.0,1.0
79,CHP05313,圆叶茅膏菜,1.0,2.0,2.0,1.0,1.0
80,CHP05322,月季花,1.0,11.0,11.0,1.0,1.0
81,CHP05287,玉蜀黍,1.0,4.0,4.0,2.0,2.0
82,CHP05289,玉叶金花,1.0,11.0,11.0,6.0,6.0
83,CHP05329,越橘叶,1.0,3.0,3.0,2.0,2.0
84,CHP05338,云南甘草,1.0,14.0,14.0,8.0,8.0
85,CHP05355,云实叶,1.0,1.0,1.0,1.0,1.0
86,CHP05357,芸薹,1.0,2.0,2.0,1.0,1.0
87,CHP05302,元宝草,1.0,8.0,8.0,1.0,1.0
88,CHP05304,圆柏,1.0,5.0,5.0,5.0,5.0
89,CHP00312,草本威灵仙,1.0,11.0,11.0,3.0,3.0
90,CHP00314,草地黄芩,1.0,7.0,7.0,2.0,2.0
91,CHP00293,菜豆树,1.0,11.0,11.0,5.0,5.0
92,CHP05325,月见草,1.0,2.0,2.0,2.0,1.0
93,CHP02824,明党参,1.0,4.0,4.0,2.0,1.0
94,CHP02844,牡蒿,1.0,2.0,2.0,2.0,2.0
95,CHP02813,绵藤,1.0,1.0,1.0,1.0,1.0
96,CHP02814,绵枣儿,1.0,10.0,10.0,6.0,6.0
97,CHP02457,陆英,1.0,2.0,2.0,1.0,1.0
98,CHP02459,鹿葱,1.0,1.0,1.0,1.0,1.0
99,CHP02463,鹿角菜,1.0,7.0,7.0,4.0,4.0
100,CHP02469,鹿衔草,1.0,11.0,11.0,7.0,7.0
101,CHP02847,木半夏根,1.0,3.0,3.0,2.0,2.0
102,CHP02504,罗勒子,1.0,1.0,1.0,1.0,1.0
103,CHP02511,萝藦子,1.0,5.0,5.0,5.0,5.0
104,CHP02494,罗锅底,1.0,9.0,9.0,5.0,5.0
105,CHP02516,落地生根,1.0,5.0,5.0,4.0,4.0
106,CHP02519,落葵,1.0,1.0,1.0,1.0,1.0
107,CHP02520,落葵花,1.0,9.0,9.0,7.0,7.0
108,CHP02500,罗汉松实,1.0,17.0,17.0,9.0,9.0
109,CHP05154,异叶梁王茶,1.0,8.0,8.0,4.0,4.0
110,CHP05159,益智,1.0,12.0,12.0,11.0,11.0
111,CHP05160,益智仁,1.0,5.0,5.0,1.0,1.0
112,CHP00472,打碗花,1.0,3.0,3.0,2.0,2.0
113,CHP05183,银线草,1.0,7.0,7.0,4.0,4.0
114,CHP05162,薏苡仁,1.0,6.0,6.0,2.0,2.0
115,CHP05139,一枝蒿,1.0,4.0,4.0,3.0,3.0
116,CHP00364,澄茄子,1.0,4.0,4.0,1.0,1.0
117,CHP05205,迎春花,1.0,13.0,13.0,9.0,9.0
118,CHP05211,瘿花香茶菜,1.0,6.0,6.0,3.0,3.0
119,CHP05218,永宁独活,1.0,5.0,5.0,2.0,2.0
120,CHP05221,油茶根皮,1.0,7.0,7.0,3.0,3.0
121,CHP05224,油茶子,1.0,6.0,6.0,3.0,3.0
122,CHP00393,臭茉莉,1.0,2.0,2.0,1.0,1.0
123,CHP00371,秤钩风,1.0,10.0,10.0,5.0,5.0
124,CHP00373,齿叶草,1.0,3.0,3.0,1.0,1.0
125,CHP00374,齿叶橐吾,1.0,2.0,2.0,1.0,1.0
126,CHP00351,朝鲜白头翁,1.0,3.0,3.0,1.0,1.0
127,CHP02941,南蛇藤叶,1.0,1.0,1.0,1.0,1.0
128,CHP02942,南酸枣,1.0,4.0,4.0,2.0,2.0
129,CHP02947,南天竹叶,1.0,4.0,4.0,3.0,3.0
130,CHP02924,南方菟丝子,1.0,4.0,4.0,2.0,2.0
131,CHP02934,南山藤,1.0,5.0,5.0,3.0,3.0
132,CHP02935,南蛇竻,1.0,12.0,12.0,8.0,8.0
133,CHP02892,木麻黄,1.0,11.0,11.0,7.0,7.0
134,CHP02313,莲子草,1.0,8.0,8.0,4.0,4.0
135,CHP02333,亮叶桦皮,1.0,3.0,3.0,2.0,2.0
136,CHP02337,辽东楤木,1.0,19.0,19.0,9.0,9.0
137,CHP02339,蓼实,1.0,2.0,2.0,2.0,2.0
138,CHP02951,南烛,1.0,4.0,4.0,2.0,2.0
139,CHP02938,南蛇藤,1.0,4.0,4.0,2.0,2.0
