rank,CHP_ID,Chinese_herbal_pieces,high_quality_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1622,CHP00807,东莨菪,0.0,2.0,2.0,0.0,0.0
1623,CHP03425,桑根,0.0,2.0,2.0,0.0,0.0
1624,CHP01520,胡麻仁,0.0,1.0,1.0,0.0,0.0
1625,CHP01499,红直獐牙菜,0.0,1.0,1.0,0.0,0.0
1626,CHP00599,大叶香薷,0.0,1.0,1.0,0.0,0.0
1627,CHP00605,大叶醉鱼草,0.0,4.0,4.0,0.0,0.0
1628,CHP00629,胆南星,0.0,1.0,1.0,0.0,0.0
1629,CHP04798,杏子,0.0,1.0,1.0,0.0,0.0
1630,CHP03243,青皮,0.0,2.0,2.0,0.0,0.0
1631,CHP04604,向日葵花,0.0,1.0,1.0,0.0,0.0
1632,CHP00648,倒地铃,0.0,1.0,1.0,0.0,0.0
1633,CHP01563,花椒簕,0.0,1.0,1.0,0.0,0.0
1634,CHP03567,山棯叶,0.0,1.0,1.0,0.0,0.0
1635,CHP03365,瑞香花,0.0,2.0,2.0,0.0,0.0
1636,CHP04215,土百部,0.0,1.0,1.0,0.0,0.0
1637,CHP04224,土丁桂,0.0,1.0,1.0,0.0,0.0
1638,CHP03770,柿,0.0,1.0,1.0,0.0,0.0
1639,CHP03401,三色堇,0.0,1.0,1.0,0.0,0.0
1640,CHP03810,薯莨,0.0,1.0,1.0,0.0,0.0
1641,CHP03921,水杨枝叶,0.0,1.0,1.0,0.0,0.0
1642,CHP05171,银背藤,0.0,1.0,1.0,0.0,0.0
1643,CHP05188,银叶树,0.0,1.0,1.0,0.0,0.0
1644,CHP00897,短小蛇根草,0.0,1.0,1.0,0.0,0.0
1645,CHP00924,盾叶唐松草,0.0,10.0,10.0,0.0,0.0
1646,CHP05198,鹰不泊,0.0,1.0,1.0,0.0,0.0
1647,CHP02815,棉花,0.0,1.0,1.0,0.0,0.0
1648,CHP02000,九里香根,0.0,2.0,2.0,0.0,0.0
1649,CHP02026,橘白,0.0,1.0,1.0,0.0,0.0
1650,CHP02034,橘叶巴戟,0.0,2.0,2.0,0.0,0.0
1651,CHP00318,草胡椒,0.0,1.0,1.0,0.0,0.0
1652,CHP05191,淫羊藿根,0.0,1.0,1.0,0.0,0.0
1653,CHP05192,印度九里香,0.0,1.0,1.0,0.0,0.0
1654,CHP05297,郁金香根,0.0,1.0,1.0,0.0,0.0
1655,CHP05337,云南榧树,0.0,3.0,3.0,0.0,0.0
1656,CHP05345,云南菟丝子,0.0,2.0,2.0,0.0,0.0
1657,CHP00239,荜茇根,0.0,3.0,3.0,0.0,0.0
1658,CHP00265,扁竹根,0.0,1.0,1.0,0.0,0.0
1659,CHP00276,柄果槲寄生,0.0,1.0,1.0,0.0,0.0
1660,CHP00285,伯乐树,0.0,1.0,1.0,0.0,0.0
1661,CHP02470,路边姜,0.0,5.0,5.0,0.0,0.0
1662,CHP02515,骆驼蓬子,0.0,2.0,2.0,0.0,0.0
1663,CHP02523,落新妇,0.0,18.0,18.0,0.0,0.0
1664,CHP02525,驴蹄草,0.0,1.0,1.0,0.0,0.0
1665,CHP02527,吕宋楸毛,0.0,6.0,6.0,0.0,0.0
1666,CHP00809,东一号剑麻,0.0,9.0,9.0,0.0,0.0
1667,CHP01470,红木香,0.0,12.0,12.0,0.0,0.0
1668,CHP00330,茶花,0.0,3.0,3.0,0.0,0.0
1669,CHP05252,柚子,0.0,1.0,1.0,0.0,0.0
1670,CHP01302,广西九里香,0.0,6.0,6.0,0.0,0.0
1671,CHP03595,山银柴胡,0.0,2.0,2.0,0.0,0.0
1672,CHP04543,线叶金鸡菊,0.0,2.0,2.0,0.0,0.0
1673,CHP01349,旱莲花,0.0,2.0,2.0,0.0,0.0
1674,CHP04595,香樟,0.0,15.0,15.0,0.0,0.0
1675,CHP04598,香樟叶,0.0,1.0,1.0,0.0,0.0
1676,CHP00286,博落回,0.0,3.0,3.0,0.0,0.0
1677,CHP04558,香根芹,0.0,2.0,2.0,0.0,0.0
1678,CHP04059,桃根,0.0,1.0,1.0,0.0,0.0
1679,CHP04110,田旋花,0.0,1.0,1.0,0.0,0.0
1680,CHP01086,芙蓉花,0.0,1.0,1.0,0.0,0.0
1681,CHP01156,岗松,0.0,1.0,1.0,0.0,0.0
1682,CHP03970,松叶,0.0,4.0,4.0,0.0,0.0
1683,CHP04000,酸模,0.0,2.0,2.0,0.0,0.0
1684,CHP01193,葛蕈,0.0,16.0,16.0,0.0,0.0
1685,CHP00289,补血草,0.0,1.0,1.0,0.0,0.0
1686,CHP01201,功劳子,0.0,1.0,1.0,0.0,0.0
1687,CHP01232,枸橘核,0.0,4.0,4.0,0.0,0.0
1688,CHP05408,樟脑,0.0,1.0,1.0,0.0,0.0
1689,CHP05379,泽藓,0.0,1.0,1.0,0.0,0.0
1690,CHP05465,珍珠梅,0.0,2.0,2.0,0.0,0.0
1691,CHP05470,枕材,0.0,2.0,2.0,0.0,0.0
1692,CHP05495,枳椇根,0.0,1.0,1.0,0.0,0.0
1693,CHP05463,珍珠菜,0.0,2.0,2.0,0.0,0.0
1694,CHP05796,灯心柳珊瑚,0.0,1.0,1.0,0.0,0.0
1695,CHP00130,白牛胆,0.0,1.0,1.0,0.0,0.0
1696,CHP06118,木耳,0.0,1.0,1.0,0.0,0.0
1697,CHP00086,白花菜,0.0,2.0,2.0,0.0,0.0
1698,CHP06080,豹皮菇,0.0,3.0,3.0,0.0,0.0
1699,CHP00104,白菊花根,0.0,1.0,1.0,0.0,0.0
1700,CHP06040,象骨,0.0,1.0,1.0,0.0,0.0
1701,CHP00004,阿育魏实,0.0,1.0,1.0,0.0,0.0
