rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
868,CHP04893,烟草,0.38952020749888555,9.468509260000001,0.7283468661538463,0.890791898,2.0,0.38461538461538464
869,CHP02600,马银花,0.3893543908061338,1.4913649,0.74568245,0.8208931,0.0,0.5
870,CHP03130,葡萄,0.38931124402740136,9.239867080000002,0.7699889233333335,0.8318725720000002,0.0,0.4166666666666667
871,CHP03946,四季青,0.38919050736321115,12.59675073,0.7409853370588235,0.8522524628571428,0.0,0.4117647058823529
872,CHP02166,腊梅花,0.38909792977923613,3.7107037899999997,0.7421407579999999,0.88691491,1.0,0.4
873,CHP02638,芒果,0.388951458755464,25.77399141,0.7159442058333334,0.8749893641666665,4.0,0.3333333333333333
874,CHP03664,麝香草,0.3887054309090372,15.308608870000002,0.7289813747619048,0.8719866112500001,1.0,0.38095238095238093
875,CHP00441,刺柏,0.3886862104233576,26.490112919999998,0.7159489978378378,0.8646589607692307,2.0,0.35135135135135137
876,CHP04232,土荆芥,0.3886786973892001,5.7813048700000005,0.7226631087500001,0.8255864175000001,0.0,0.5
877,CHP00231,北玄参,0.3886502298202999,11.21651764,0.7477678426666666,0.8564012833333332,0.0,0.4
878,CHP02588,马桑,0.388623007860158,10.665151,0.7110100666666667,0.9309253999999999,4.0,0.3333333333333333
879,CHP02222,老鹳草,0.3885958198714649,16.79029956,0.7631954345454546,0.84855348625,0.0,0.36363636363636365
880,CHP01771,藿香,0.3884718296215215,49.347791650000005,0.685385995138889,0.8660845715789474,6.0,0.2638888888888889
881,CHP01460,红毛七,0.3882880171057838,6.17621837,0.6862464855555556,0.896835625,1.0,0.4444444444444444
882,CHP01608,化橘红,0.3881446119065546,23.50043087,0.7121342687878788,0.86696897,2.0,0.36363636363636365
883,CHP03204,枪刀药,0.38810118178142344,19.219304029999996,0.6864037153571427,0.8622025958333334,1.0,0.42857142857142855
884,CHP04962,羊角藤,0.3879734296262828,3.72071124,0.744142248,0.87925605,1.0,0.4
885,CHP03258,青叶胆,0.38776844053212695,12.85845564,0.6767608231578948,0.8585104755555556,1.0,0.47368421052631576
886,CHP01312,鬼针草,0.38751299174714626,11.63586819,0.775724546,0.867792562,1.0,0.3333333333333333
887,CHP02924,南方菟丝子,0.3873580257183929,2.8387014500000003,0.7096753625000001,0.8422238,0.0,0.5
888,CHP03245,青钱柳,0.38725519372523426,2.88008247,0.7200206175,0.8312202,0.0,0.5
889,CHP00770,调经草,0.38723768347107784,3.79963927,0.7599278540000001,0.863021375,0.0,0.4
