CHP_ID,Chinese_herbal_pieces,total_score
CHP02279,荔枝核,14.72967479
CHP04293,王不留行,14.69621952
CHP02337,辽东楤木,14.686705
CHP00683,地瓜子,14.6811259
CHP02658,猫爪草,14.6057877
CHP00173,百里香,14.505285220000001
CHP06113,马勃,14.49521966
CHP02498,罗汉松,14.460889309999999
CHP03256,青葙子,14.41211301
CHP00397,臭梧桐,14.40801443
CHP05061,野马追,14.38568299
CHP03884,水茄,14.35721056
CHP05112,叶底珠,14.31595196
CHP05124,夜来香,14.24585351
CHP01104,福寿草,14.16870521
CHP02342,裂果薯,14.154761070000001
CHP02500,罗汉松实,14.152123060000001
CHP01019,飞燕草,14.144493109999999
CHP01132,肝风草,14.13493521
CHP05248,柚花,14.105680060000001
CHP00100,白胶香,14.06365398
CHP01131,甘西鼠尾草,14.036775219999999
CHP05140,一枝黄花,13.97377249
CHP01143,干地黄,13.93356528
CHP04987,杨梅树皮,13.90029209
CHP00078,白果根,13.89204526
CHP00443,刺果甘草,13.82164677
CHP05680,紫苏子,13.82045483
CHP03328,忍冬藤,13.81042409
CHP00467,粗叶悬钩子,13.73271342
CHP03561,山柰,13.6900128
CHP01242,谷精草,13.688915
CHP00062,白刺花,13.63158477
CHP00292,布渣叶,13.57836024
CHP01409,红车轴草,13.536750999999999
CHP03732,石榴皮,13.50844651
CHP04975,羊踯躅,13.48015798
CHP00298,苍耳,13.47274818
CHP01773,鸡肠狼毒,13.41466919
CHP00068,白杜鹃花,13.40477466
CHP04902,芫荽子,13.40383179
CHP01751,灰叶根,13.34625759
CHP05623,紫草,13.298365819999999
CHP03695,蓍实,13.29193973
CHP04042,太子参,13.24885413
CHP02439,耧斗菜,13.24406738
CHP04372,无患子,13.1972834
CHP01930,金牛草,13.06137915
CHP01550,虎刺,13.01777576
CHP02009,韭菜子,12.959613449999999
CHP06089,冬虫夏草,12.94070094
CHP00102,白芥子,12.91674578
CHP03070,胖大海,12.9126975
CHP03258,青叶胆,12.85845564
CHP05557,猪鬃草,12.81684343
CHP00668,地不容,12.74324376
CHP00772,跌打老,12.7254887
CHP00729,灯盏细辛,12.68991493
CHP00469,催吐萝芙木,12.60093125
CHP03946,四季青,12.59675073
CHP03334,榕树,12.45837899
CHP04061,桃金娘,12.45685194
CHP03389,三棱,12.45012143
CHP01256,关白附,12.41559129
CHP02630,蔓荆,12.39695705
CHP04862,寻骨风,12.3458881
CHP00165,白珠树,12.3102664
CHP01625,槐角,12.28178819
CHP00500,大果大戟,12.19979725
CHP02055,决明,12.19751874
CHP00296,蚕豆,12.18119029
CHP04858,血桐,12.16872075
CHP06122,桑黄,12.07080112
CHP03148,铺地蜈蚣,12.06322591
CHP01235,枸杞叶,12.03056351
CHP05030,野甘草,12.00405152
CHP04546,相思藤,11.96779345
CHP03843,水红花子,11.96525394
CHP00227,北豆,11.88890801
CHP02554,麻牛膝,11.79275458
CHP00011,艾纳香,11.7838649
CHP01312,鬼针草,11.63586819
CHP01911,金果榄,11.57820589
CHP03217,芹花,11.51129498
CHP02175,辣蓼草,11.476957259999999
CHP04167,铁苋,11.4733971
CHP00998,翻白草,11.45131891
CHP04717,小通草,11.35084442
CHP04164,铁丝灵仙,11.29738193
CHP01193,葛蕈,11.27779326
CHP01676,黄荆,11.23272267
CHP00231,北玄参,11.21651764
CHP02602,马醉木,11.21101939
CHP00882,杜松,11.14432716
CHP03753,石蒜,11.12806473
CHP00708,地刷子,11.03410916
CHP00403,除虫菊,10.98845829
CHP04834,雪胆,10.98026213
CHP05205,迎春花,10.95400111
CHP00175,百脉根,10.93850016
CHP05754,斑蝥,10.92580579
CHP03013,牛舌草,10.91738592
CHP03486,山沉香,10.91504895
CHP02908,木贼,10.91419058
CHP06134,云芝,10.9140725
CHP04244,土三七,10.87786477
CHP01168,高山火绒草,10.8711452
CHP00445,刺槐花,10.82945616
CHP03687,省沽油,10.82887155
CHP02510,萝藦,10.79651326
CHP03778,柿叶,10.73242406
CHP01540,湖北黄精,10.71789739
CHP06120,绒白乳菇,10.71706177
CHP00189,斑草,10.71353872
CHP02623,曼陀罗叶,10.68674775
CHP02410,龙脑膏香,10.67554322
CHP03213,荞麦,10.66661115
CHP02588,马桑,10.665151
CHP02065,看麦娘状莎草,10.64467334
CHP05338,云南甘草,10.64265835
CHP00323,草乌叶,10.63145952
CHP01693,黄龙胆,10.62658248
CHP03226,青果,10.5817497
CHP06100,猴头菇,10.57124581
CHP03395,三面刀,10.56324097
CHP05512,肿柄菊,10.5398017
CHP03020,牛尾蒿,10.5369883
CHP01815,棘豆,10.4501919
CHP00284,播娘蒿,10.44823499
CHP00336,茶子,10.434762880000001
CHP01620,槐,10.4240664
CHP05169,茵陈,10.41035488
CHP00396,臭山羊,10.37557172
CHP00251,边缘鳞盖蕨,10.35080216
CHP03038,糯稻根,10.32818973
CHP04816,徐长卿,10.32320591
CHP01560,虎杖,10.31515839
CHP03532,山姜,10.22764634
CHP01598,华桑,10.14781006
CHP04898,延龄草,10.12327488
CHP04897,延胡索,10.00981439
CHP04866,鸦胆子,10.00058794
CHP04523,夏至草,9.9677357
CHP02557,麻叶,9.95916627
CHP05565,竹节参,9.936717
CHP03585,山香,9.9286114
CHP01776,鸡蛋花,9.86677177
CHP03975,松子仁,9.81625553
CHP05117,叶下珠,9.814842800000001
CHP00887,短瓣花,9.80878116
CHP05159,益智,9.77658077
CHP04084,天胡荽,9.71761555
CHP05572,竹沥,9.70652974
CHP00793,东北刺人参,9.7058121
CHP04863,荨麻,9.6765953
CHP02305,莲花,9.6115765
CHP02488,罗布麻,9.58301381
CHP00220,宝盖草,9.54422429
CHP05294,玉竹,9.54282358
CHP00016,安徽贝母,9.52115545
CHP01945,金铁锁,9.48764364
CHP04893,烟草,9.46850926
CHP02935,南蛇竻,9.46516676
CHP01534,葫芦茶,9.37300069
CHP05730,总状升麻,9.36417118
CHP00928,多花蒿,9.36388638
CHP04092,天罗水,9.33948895
CHP05066,野茉莉,9.33129691
CHP00949,峨参,9.30665277
CHP01753,回回豆,9.28143462
CHP01342,海南买麻藤,9.24236167
CHP03130,葡萄,9.23986708
CHP00965,鹅掌楸,9.22748804
CHP06117,蘑菇,9.22369089
CHP00731,棣棠花,9.1927128
CHP03867,水蓼,9.1714083
CHP02661,毛白杨,9.16840873
CHP01996,九节茶,9.16253268
CHP02109,苦蒿,9.14105092
CHP02855,木鳖子,9.10132748
CHP04150,铁力木,9.083988979999999
CHP00309,糙苏,9.06037125
CHP05163,翼首草,9.04888844
CHP01740,黄心果,8.99466556
CHP05286,玉米须,8.9760033
CHP00802,东方狗脊,8.96920701
CHP00119,白马骨,8.9628929
CHP00628,胆木,8.93081445
CHP02469,鹿衔草,8.89448339
CHP06133,蛹虫草,8.88837478
CHP00256,鞭叶铁线蕨,8.83830425
CHP01578,华北白前,8.83084014
CHP00454,刺楸树皮,8.79937035
CHP01234,枸杞,8.79236077
CHP05289,玉叶金花,8.79119761
CHP01757,茴香,8.78832516
CHP00221,保山乌头,8.78725183
CHP03187,千日红,8.77804675
CHP05679,紫苏叶,8.760645929999999
CHP03709,石刁柏,8.74830161
CHP02796,米仔兰,8.74821244
CHP04018,娑罗子,8.74529567
CHP01905,金钗凤尾蕨,8.7419303
CHP02930,南瓜子,8.73622807
CHP00486,大豆,8.73613138
CHP00080,白果紫草,8.64690286
CHP01323,桂皮,8.51941509
CHP01241,古柯,8.50255109
CHP01912,金合欢,8.48589454
CHP00083,白鹤灵芝,8.48032989
CHP04524,仙鹤草,8.46448768
CHP04599,响铃草,8.458451
CHP04595,香樟,8.43460906
CHP04608,向日葵叶,8.4213403
CHP05690,紫薇,8.41474328
CHP00293,菜豆树,8.40529708
CHP01957,金叶子,8.40175018
CHP03127,破叶莲,8.381381489999999
CHP04449,西瓜,8.37625281
CHP00347,常春藤,8.36606479
CHP02523,落新妇,8.35569868
CHP00040,巴拿马山石榴,8.29553029
CHP04285,万年青根,8.26342592
CHP02472,路路通,8.23182655
CHP03647,蛇根草,8.22375619
CHP00939,多伞阿魏,8.21460978
CHP01363,荷花玉兰,8.2112707
CHP04951,燕麦,8.2107399
CHP04223,土当归,8.207140429999999
CHP01261,关木通,8.13342572
CHP03135,蒲黄,8.11673246
CHP00722,灯笼草,8.09688152
CHP00670,地胆草,8.08156048
CHP05779,蟾蜍,8.0701123
CHP00371,秤钩风,8.06689457
CHP01269,管花肉苁蓉,8.0640501
CHP02781,迷迭香,8.06302907
CHP01099,浮叶眼子菜,8.04656716
CHP01600,华山矾,8.0442497
CHP00876,杜鹃花,8.0365367
CHP00480,大驳骨,8.0285917
CHP00974,耳草,7.99477588
CHP02484,轮环藤,7.9677202000000005
CHP04276,豌豆,7.95309064
CHP02308,莲生桂子花,7.94649678
CHP02478,露水草,7.94094428
CHP04057,桃儿七,7.93884363
CHP00990,番石榴,7.92629805
CHP01309,鬼箭锦鸡儿,7.91229076
CHP01181,戈壁天门冬,7.90861263
CHP00023,暗紫贝母,7.86362789
CHP01345,海州骨碎补,7.8603687099999995
CHP03302,瞿麦,7.85778423
CHP01965,金鱼藤,7.84090503
CHP04958,羊角拗,7.8329894
CHP00676,地肤子,7.83095604
CHP04069,桃枝,7.8034151099999995
CHP01663,黄花稔,7.76023017
CHP02814,绵枣儿,7.74908531
CHP00514,大黄花,7.73902089
CHP02716,毛桐,7.7308546
CHP04848,血风藤,7.72812798
CHP02082,孔雀草,7.6926991
CHP05486,蜘蛛香,7.66765844
CHP02892,木麻黄,7.64974794
CHP00973,儿茶钩藤,7.64152878
CHP02207,狼把草,7.6229298
CHP00312,草本威灵仙,7.60681767
CHP06136,猪苓,7.60327796
CHP03353,入地蜈蚣,7.59805285
CHP00013,艾实,7.59575093
CHP04591,香橼,7.57609332
CHP04190,桐油,7.5584214
CHP04547,相思子,7.539195080000001
CHP01884,角蒿,7.53535897
CHP02520,落葵花,7.5266031700000005
CHP00742,滇黄芩,7.52009781
CHP00414,川鄂淫羊藿,7.50196447
CHP03180,千金子,7.48272665
CHP03199,茜草根,7.46643991
CHP04259,菟丝子,7.46293202
CHP02839,母菊,7.4200114699999995
CHP03696,十大功劳,7.40910311
CHP01299,广西莪术,7.3926272299999995
CHP01599,华山参,7.3724464
CHP00042,巴西胡桐,7.35906485
CHP02526,吕宋果,7.35649349
CHP04629,小檗,7.31635058
CHP04809,绣线菊叶,7.29131328
CHP01783,鸡骨常山,7.2904795799999995
CHP06131,香蕈,7.28078041
CHP01988,粳米,7.26711304
CHP06015,水蛭,7.256173
CHP03263,清风藤,7.23209246
