rank,CHP_ID,Chinese_herbal_pieces,total_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1177,CHP03245,青钱柳,2.88008247,4.0,4.0,2.0,0.0
1178,CHP03719,石见穿,2.87905535,4.0,4.0,1.0,0.0
1179,CHP04098,天茄子,2.87853608,4.0,4.0,1.0,0.0
1180,CHP03416,三钻风,2.85570393,4.0,4.0,0.0,0.0
1181,CHP01641,黄甘草,2.84415365,4.0,4.0,2.0,0.0
1182,CHP03518,山胡椒,2.83971238,5.0,5.0,0.0,0.0
1183,CHP05409,樟树皮,2.8393032199999997,4.0,4.0,0.0,0.0
1184,CHP02924,南方菟丝子,2.8387014500000003,4.0,4.0,2.0,0.0
1185,CHP02591,马桑叶,2.8280435799999997,4.0,4.0,2.0,1.0
1186,CHP03504,山矾根,2.8078250999999996,4.0,4.0,2.0,0.0
1187,CHP04888,亚麻子,2.78930846,4.0,4.0,1.0,1.0
1188,CHP00428,春福寿草,2.75290303,3.0,3.0,3.0,3.0
1189,CHP03780,匙羹藤,2.75072963,4.0,4.0,1.0,0.0
1190,CHP02918,南板蓝根,2.7463060599999998,4.0,4.0,1.0,0.0
1191,CHP02218,莨菪根,2.7455562,4.0,4.0,2.0,0.0
1192,CHP00389,臭柏,2.74322645,4.0,4.0,1.0,0.0
1193,CHP04753,小芸木,2.7182127,4.0,4.0,0.0,0.0
1194,CHP04115,甜茶藤,2.6921383600000004,4.0,4.0,0.0,0.0
1195,CHP05280,禹州漏芦,2.69104593,6.0,6.0,1.0,0.0
1196,CHP03934,睡莲,2.67117184,5.0,5.0,1.0,0.0
1197,CHP03274,秋海棠,2.6547138500000003,5.0,5.0,1.0,0.0
1198,CHP00795,东北蛔蒿,2.6512621,3.0,3.0,3.0,1.0
1199,CHP02130,苦绳,2.64708413,3.0,3.0,3.0,1.0
1200,CHP03898,水苏,2.64613085,4.0,4.0,0.0,0.0
1201,CHP00026,八角枫,2.62096179,4.0,4.0,1.0,0.0
1202,CHP02133,苦檀子,2.61924929,6.0,6.0,1.0,0.0
1203,CHP04914,岩黄连,2.6189472,4.0,4.0,0.0,0.0
1204,CHP00364,澄茄子,2.6183938700000002,4.0,4.0,0.0,0.0
1205,CHP01856,见血飞,2.6141837399999996,3.0,3.0,2.0,2.0
1206,CHP05880,鸡脑,2.6125974800000002,3.0,3.0,2.0,1.0
1207,CHP02987,牛扁,2.61108099,3.0,3.0,2.0,2.0
1208,CHP00994,番石榴叶,2.6055685,3.0,3.0,3.0,0.0
1209,CHP02824,明党参,2.6014455,4.0,4.0,1.0,0.0
1210,CHP05635,紫花地丁,2.59904037,4.0,4.0,1.0,0.0
1211,CHP01829,蓟罂粟,2.5698448099999998,7.0,7.0,0.0,0.0
1212,CHP02847,木半夏根,2.5623839999999998,3.0,3.0,2.0,1.0
1213,CHP04325,文冠木,2.55813082,5.0,5.0,0.0,0.0
1214,CHP03306,拳参,2.5564269,3.0,3.0,3.0,0.0
1215,CHP05007,椰子,2.55016643,4.0,4.0,0.0,0.0
1216,CHP00799,东北延胡索,2.54682061,4.0,4.0,0.0,0.0
1217,CHP01505,厚皮树,2.53948986,5.0,5.0,0.0,0.0
1218,CHP00394,臭牡丹,2.50222456,4.0,4.0,0.0,0.0
1219,CHP05012,野百合,2.4989532199999998,3.0,3.0,2.0,0.0
